s3894,TV Show,Man Down,,"Greg Davies, Roisin Conaty, Jeany Spark, Gwyneth Powell, Isy Suttie, Michael Wozniak, Elliot Levey, Ruth Bratt, Deirdre Mullins, Steven Berkoff, Stella Gonet, Rik Mayall, Ashley McGuire, Stephanie Cole",United Kingdom,"November 30, 2017",2017,TV-MA,4 Seasons,"British TV Shows, TV Comedies","A childish idiot trapped in an adult's body, schoolteacher Dan hates his job, hates his girlfriend-less life and has good reason to fear his dad."
s3895,TV Show,Man Like Mobeen,,,United Kingdom,"April 1, 2020",2020,TV-MA,3 Seasons,"British TV Shows, TV Comedies","Mobeen is trying to be a good friend, follow the faith and raise his teenage sister. Yet his past – and everyday life – complicates matters."
s3896,Movie,Man of Tai Chi,Keanu Reeves,"Keanu Reeves, Tiger Chen, Karen Mok, Simon Yam, Qing Ye, Hai Yu, Sam Lee, Iko Uwais","United States, China, Hong Kong","July 26, 2018",2013,R,105 min,"Action & Adventure, Dramas","In this kung fu tale set in Beijing, a young man armed with incomparable martial arts skills gets embroiled in the world of underground fight clubs."
s3897,TV Show,Man to Man,Chang-Min Lee,"Hae-Jin Park, Sung-woong Park, Min-jung Kim, Jung-an Chae, Jung-hoon Yeon, Hyun-sung Jang, Man-sik Jung, Shin-il Kang, Ho-jin Chun, In-ho Tae",South Korea,"June 10, 2017",2017,TV-14,1 Season,"Crime TV Shows, International TV Shows, Korean TV Shows","Disguised as a bodyguard, a special agent must complete his national secret tasks while pandering to the whims of his ill-tempered world star."
s3898,Movie,Man Up,Ben Palmer,"Lake Bell, Simon Pegg, Ophelia Lovibond, Olivia Williams, Rory Kinnear, Henry Lloyd-Hughes, Ken Stott, Sharon Horgan, Harriet Walter, Stephen Campbell Moore, Dean-Charles Chapman, Phoebe Waller-Bridge","United Kingdom, France","September 4, 2018",2015,R,88 min,"Comedies, International Movies, Romantic Movies","A single woman seizes an opportunity when, while standing under a train station clock, she meets a stranger who mistakes her for his blind date."
s3899,TV Show,Man vs Wild with Sunny Leone,,"Bear Grylls, Sunny Leone",,"December 1, 2018",2018,TV-PG,1 Season,"International TV Shows, Reality TV, TV Action & Adventure",The adventures of Bear Grylls get a unique spin as Bollywood star Sunny Leone hosts the show famous for revealing Bear's wilderness survival skills.
s3900,TV Show,Man with a Plan,,"Matt LeBlanc, Liza Snyder, Grace Kaufman, Matthew McCann, Hala Finley, Matt Cook, Jessica Chaffin",United States,"September 30, 2020",2020,TV-PG,4 Seasons,TV Comedies,"When his wife Andi returns to work, contractor Adam Burns becomes a stay-at-home dad and discovers that parenting is a tougher job than he realized."
s3901,Movie,Mandi,Shyam Benegal,"Shabana Azmi, Smita Patil, Naseeruddin Shah, Amrish Puri, Kulbhushan Kharbanda, Saeed Jaffrey, Om Puri, Sreela Mazumdar, Neena Gupta",India,"January 1, 2020",1983,TV-MA,155 min,"Dramas, Independent Movies, International Movies","Forbidden love, fraying loyalties and flagrant hypocrisy emerge when sanctimonious politicians drive a madam’s brothel from the heart of Hyderabad."
s3902,Movie,Mandobasar Galpo,Tathagata Banerjee,"Paoli Dam, Parambrata Chattopadhyay, Indrasish Roy, Koushik Sen, Biswajit Chakraborty",India,"April 1, 2018",2017,TV-14,103 min,"Dramas, International Movies, Romantic Movies","With the assistance of a psychiatrist, an acclaimed filmmaker struggles to come to terms with a mysterious romantic trauma."
s3903,Movie,Manglehorn,David Gordon Green,"Al Pacino, Holly Hunter, Harmony Korine, Chris Messina, Skylar Gasper, Brian D. Mays, Herculano Trevino, Angela Woods",United States,"April 16, 2017",2014,PG-13,97 min,"Dramas, Independent Movies",A reclusive small-town locksmith who can't stop writing letters to a lost love meets a kindly bank teller who challenges him to look to the future.
s3904,Movie,Mango Dreams,John Upchurch,"Ram Gopal Bajaj, Pankaj Tripathi, Sameer Kochhar",United States,"March 15, 2018",2016,TV-14,92 min,"Dramas, Independent Movies","Concerned that dementia will soon steal his most cherished memories, a Hindu doctor hires a Mulsim rickshaw driver to take him to his childhood home."
s3905,Movie,Manhattan Romance,Tom O'Brien,"Tom O'Brien, Katherine Waterston, Caitlin Fitzgerald, Gaby Hoffmann, Louis Cancelmi, Zach Grenier",United States,"September 8, 2017",2014,TV-14,98 min,"Comedies, Independent Movies, Romantic Movies",A filmmaker working on a documentary about love in modern Manhattan becomes personally entangled in the romantic lives of his subjects.
s3906,Movie,Manhunt,John Woo,"Zhang Hanyu, Masaharu Fukuyama, Qi Wei, Ji-won Ha, Jun Kunimura, Angeles Woo, Nanami Sakuraba","China, Hong Kong","May 4, 2018",2017,TV-MA,109 min,"Action & Adventure, International Movies",A Chinese pharmaceutical lawyer framed for a vile crime teams up with a sharp-witted Japanese detective to stop a dangerous corporate plot.
s3907,TV Show,Manhunt: Deadly Games,,"Cameron Britton, Jack Huston, Judith Light, Carla Gugino, Gethin Anthony, Kelly Jenrette, Arliss Howard, Jay O. Sanders, Nick Searcy, Marley Shelton, Becky Ann Baker, Brad William Henke",,"December 7, 2020",2020,TV-14,1 Season,"Crime TV Shows, TV Dramas, TV Mysteries","Despite his heroics, security guard Richard Jewell becomes a suspect in the FBI investigation of a foiled terrorist attack at the 1996 Olympics."
s3908,TV Show,Maniac,,"Emma Stone, Jonah Hill, Justin Theroux, Sally Field, Gabriel Byrne, Sonoya Mizuno, Julia Garner, Billy Magnussen, Jemima Kirke",United States,"September 21, 2018",2018,TV-MA,1 Season,"TV Comedies, TV Dramas, TV Mysteries",Two struggling strangers connect during a mind-bending pharmaceutical trial involving a doctor with mother issues and an emotionally complex computer.
s3909,Movie,Maniyarayile Ashokan,Shamzu Zayba,"Jacob Gregory, S.V. Krishna Shankar, Shine Tom Chacko, Vijayaraghavan, Sri Lakshmi, Anupama Parameswaran, Dulquer Salmaan, Nazriya Fahad",India,"August 31, 2020",2020,TV-14,110 min,"Comedies, International Movies, Romantic Movies","When his unlucky horoscope doesn’t bode well for his future wife, an earnest bachelor goes to surprising lengths to get the family he’s always wanted."
s3910,Movie,Manje Bistre,Baljit Singh Deo,"Gippy Grewal, Sonam Bajwa, Karamjit Anmol, Jaggi Singh, B.N. Sharma, Hobby Dhaliwal, Rana Ranbir, Sardar Sohi, Anita Devgan, Harby Sangha",India,"October 1, 2018",2017,TV-14,136 min,"Comedies, Dramas, International Movies","While prepping for a family wedding, a young man falls for his sister’s friend, who has already been promised to someone else."
s3911,Movie,MANK,David Fincher,"Gary Oldman, Amanda Seyfried, Charles Dance, Lily Collins, Arliss Howard, Tom Pelphrey, Sam Troughton, Ferdinand Kingsley, Tuppence Middleton, Tom Burke, Joseph Cross, Jamie McShane, Toby Leonard Moore, Monika Gossmann",United States,"December 4, 2020",2020,R,133 min,"Dramas, Independent Movies",1930s Hollywood is reevaluated through the eyes of scathing wit and alcoholic screenwriter Herman J. Mankiewicz as he races to finish “Citizen Kane.”
s3912,Movie,Manmadhudu 2,Rahul Ravindran,"Nagarjuna Akkineni, Rakul Preet Singh, Lakshmi, Rao Ramesh, Vennela Kishore, Jhansi, Devadarshini Chetan, Nishanti",India,"September 23, 2019",2019,TV-MA,152 min,"Comedies, Dramas, International Movies","Under pressure to marry, a perennial bachelor hires a much younger woman to act as his fiancée, but her bond with his family throws his plan for a loop."
s3913,Movie,Mann,Indra Kumar,"Aamir Khan, Manisha Koirala, Sharmila Tagore, Dipti Bhatnagar, Dalip Tahil, Anil Kapoor",India,"September 28, 2020",1999,TV-14,173 min,"Dramas, International Movies, Romantic Movies","A smooth talker falls for a music teacher aboard a cruise, but a cruel twist of fate hinders their plans to meet again months later."
